card_type,card_number,email,ip,phone_number,amount,date
Discover,6011468234515701,oster@outlook.com,138.4.132.106,(329) 242-2297,$ 34.4,2019-04-05
Discover,   6011488232450586,djupedal@outlook.com,231.183.92.53,(624) 279-6214,37.77,2019-04-06
Discover,6011159573116876,chance@hotmail.com,97.236.220.224,(407) 568-3191,37.82,2019-04-07
Discover,6011910917914206,tangsh@yahoo.com,33.143.241.209,(454) 234-6790,38.6,2019-04-08
Discover,6011651568615805,bmidd@yahoo.com,33.88.62.86,(911) 986-7326,38.6,2019-04-09
American Express,341725222838203,noodles@me.com,20.19.122.168,(345) 669-7412,$ 40.14,2019-07-01
American Express,375278137179239,gward@live.com,226.49.186.55,(544) 973-6329,43.86,2019-07-01
American Express,342064159880445,howler@icloud.com,249.202.250.280,(420) 665-1359,44.43,2019-07-01
American Express,376616418358213,evilopie@comcast.net.com,85.209.141.169,(734) 483-4661,45.39,2019-07-02
American Express,371778593570593,ngedmond@msn.com,119.4.99.80,(778) 497-4606,46.33,2019-07-03
MasterCard,5321150059338750,gamma@att.net,106.85.15.163,(339) 210-3214,47.33,2019-07-04
MasterCard,5128791265968214,dkrishna@verizon.net,25.249.146.35.123,(736) 504-7106,68.48,2019-07-05
MasterCard,5597957888425021,linuxhack@outlook.com,141.194.150.138,(393) 359-7650,76.16,2019-07-06
MasterCard,5234348079770764,lukka@gmail.com,233.75.114.144,(665) 612-6033,76.97,2019-07-07
MasterCard,5178866464145845,fmtbebuck@att.net,203.179.188.79,(522) 790-1735,247.44,2019-06-12
Visa,4916500938326869,wikinerd@comcast.net,178.152.180,(999) 820-2844,$ 15.17,2019-06-13
Visa,4532068229710187,jdray@hotmail.com,15.173.112.15,(506) 836-8627,$ 15.95,2019-06-14
Visa,4024007167969400,jmmuller@verizon.net,190.164.40.153,(229) 804-2706,$   16.13,2019-06-15
Visa,4532952984737263,nogin@aol.com,15.245.150.102,(807) 454-4805,15,2019-06-16
Visa,4532952984737263  ,szymansk@outlook.com,183.16.21.108,(779) 535-0631,16.18,2019-06-17
Visa,4532046852341744,jadavis@msn.com,132.108.23.108,(556) 730-1350,16.37,2019-06-18
Visa,4532046852341744,citadel@comcast.net,173.205.218.36,(713) 812-4434,usd 17.05,2019-04-09
Visa,4532046852341744,samavati@me.com,130.131.96.184,(649) 219-7510,usd 15.09,2019-04-09
Visa,4532046852341744,dgriffith@mac.com,130.131.96.184,(790) 565-9529,usd 101.2,2019-04-09
Visa,4532046852341744,dgriffith@mac.com,30.11.96.14,(242) 650-9878,$    12.1,2019-04-09
